reach_id_v17b,group
63309400081,calibration
63309600051,calibration
63309600081,validation
63309600111,calibration
63309800091,calibration
63411100061,calibration
63411300011,validation
63411500031,validation
63411700011,validation
63413000061,calibration
63413000091,calibration
63415000151,calibration
63420100011,calibration
63420100091,calibration
63420200031,calibration
63420200211,calibration
63420300051,calibration
63420300081,calibration
63420300131,calibration
63430300011,calibration
63430500021,validation
63430700011,calibration
63430900021,calibration
63440300031,calibration
63440300061,validation
63450100011,calibration
63450700051,calibration
63450800081,validation
63470100021,calibration
63470100131,calibration
63470500021,calibration
63470800031,calibration
63470800051,validation
63470800091,calibration
63470800171,calibration
63470800281,calibration
63470800491,calibration
63470900021,calibration
63480100071,calibration
63480100081,calibration
63480200021,calibration
63480200061,calibration
63480500031,calibration
63480600111,calibration
63480600341,validation
63480700041,calibration
63480700161,validation
63491000031,calibration
63494000041,calibration
63494000141,calibration
63494000221,validation
63494000331,validation
63494000381,calibration
63494000431,calibration
63494000461,validation
63494000521,calibration
63495000031,calibration
63498000071,calibration
63498000151,calibration
63498000241,calibration
63498000471,calibration
63498000581,calibration
63498000711,calibration
63498000791,calibration
63499000171,calibration
63499000241,calibration
63499000301,calibration
63499000331,calibration
63516200041,validation
63516300061,calibration
63516500041,validation
63516700051,validation
63516700171,validation
63516700201,calibration
63520100041,validation
63520100061,validation
63520300021,calibration
63520300041,calibration
